Ticker,Company Name,Industry
CODI,Compass Diversified Holdings,conglomerates
CODX,Co-Diagnostics,diagnostics & research
COE,China Online Education Group,education & training services
COF,Capital One Financial,credit services
COFS,Choiceone Financial Services,banks-regional
COG,Cabot Oil & Gas,oil & gas e&p
COGT,Cogent Biosciences,biotechnology
COHN,Cohen & Company,capital markets
COHR,Coherent,scientific & technical instruments
COHU,"Cohu, Inc.",semiconductor equipment & materials
COIN,Coinbase,software-application
COKE,Coca-Cola Consolidated,beverages-non-alcoholic
COLB,Columbia Banking System,banks-regional
COLD,Americold Realty Trust,reit-industrial
COLI,Colicity,shell companies
COLL,Collegium Pharmaceutical,drug manufacturers-specialty & generic
COLM,Columbia Sportswear,apparel manufacturing
COMM,Commscope,communication equipment
COMP,Compass,software-application
COMS,Comsovereign Holding,telecom services
CONE,Cyrusone,reit-specialty
CONN,Conn'S,specialty retail
CONX,Conx Corp.,shell companies
COO,Cooper Companies,medical instruments & supplies
COOK,Traeger,household appliances
COOL,Corner Growth Acquisition,none
COOP,Mr. Cooper Group,mortgage finance
COP,Conocophillips,oil & gas e&p
COR,Coresite Realty,reit-office
CORE,Core-Mark,food distribution
CORR,Corenergy Infrastructure Trust,reit-diversified
CORT,Corcept Therapeutics,biotechnology
COST,Costco,discount stores
COTY,Coty Inc.,household & personal products
COUP,Coupa Software,software-application
COUR,Coursera,education & training services
COVA,Crescent Cove Acquisition,shell companies
COWN,Cowen Inc.,capital markets
CP,Canadian Pacific Railway,railroads
CPA,Copa Holdings,airlines
CPAC,Cementos Pacasmayo,building materials
CPAR,Catalyst Partners Acquisition,shell companies
CPB,Campbell Soup,packaged foods
CPE,Callon Petroleum,oil & gas e&p
CPF,Central Pacific Financial,banks-regional
CPG,Crescent Point Energy,oil & gas e&p
CPHC,Canterbury Park Holding,gambling
CPHI,China Pharma Holdings,drug manufacturers-specialty & generic
CPIX,Cumberland Pharmaceuticals,drug manufacturers-specialty & generic
CPK,Chesapeake Utilities,utilities-regulated gas
CPLG,Corepoint Lodging,reit-hotel & motel
CPLP,Capital Product Partners,marine shipping
CPNG,Coupang,internet retail
CPOP,Pop Culture Group,advertising agencies
CPRI,Capri Holdings,apparel manufacturing
CPRT,Copart,specialty business services
CPRX,Catalyst Pharmaceuticals,biotechnology
CPS,Cooper-Standard Holdings,auto parts
CPSH,Cps Technologies,electronic components
CPSI,Computer Programs & Systems,health information services
CPSR,Capstar Special Purpose Acquisition,shell companies
CPSS,Consumer Portfolio Services,credit services
CPT,Camden Property Trust,reit-residential
CPTK,Crown Proptech Acquisitions,shell companies
CPUH,Compute Health Acquisition,shell companies
CQP,Cheniere Energy Partners,oil & gas midstream
CR,Crane Co.,specialty industrial machinery
CRAI,Cra International,consulting services
CRBP,Corbus Pharmaceuticals,biotechnology
CRBU,Caribou Biosciences,biological products
CRC,California Resources,oil & gas e&p
CRCT,Cricut,computer hardware
CRD.A,Crawford & Company,insurance brokers
CRD.B,Crawford & Company,insurance brokers
CRDF,Cardiff Oncology,biotechnology
CRDL,Cardiol Therapeutics,drug manufacturers-specialty & generic
CREE,"Cree, Inc.",semiconductors
CREG,China Recycling Energy,utilities-renewable
CRESY,Cresud,conglomerates
CREX,Creative Realities,software-application
CRH,Crh Plc,building materials
CRHC,Cohn Robbins Holdings,shell companies
CRI,Carter'S,apparel retail
CRIS,"Curis, Inc.",biotechnology
CRK,Comstock Resources,oil & gas e&p
CRKN,Crown Electrokinetics,specialty chemicals
CRL,Charles River Laboratories,diagnostics & research
CRM,Salesforce.Com,software-application
CRMD,Cormedix,biotechnology
CRMT,America'S Car-Mart,auto & truck dealerships
CRNC,Cerence,software-application
CRNT,Ceragon Networks,communication equipment
CRNX,Crinetics Pharmaceuticals,biotechnology
CRON,Cronos Group,drug manufacturers-specialty & generic
CROX,Crocs,footwear & accessories
CRS,Carpenter Technology,metal fabrication
CRSP,Crispr Therapeutics,biotechnology
CRSR,Corsair Gaming,computer hardware
CRT,Cross Timbers Royalty Trust,oil & gas e&p
CRTD,Creatd,internet content & information
CRTO,Criteo,advertising agencies
CRTX,Cortexyme,biotechnology
CRU,Crucible Acquisition,none
CRUS,Cirrus Logic,semiconductors
CRVL,Corvel,insurance brokers
CRVS,Corvus Pharmaceuticals,biotechnology
CRWD,Crowdstrike,software-infrastructure
CRWS,Crown Crafts,textile manufacturing
CRY,Cryolife,medical devices
CRZN,Corazon Capital V838 Monoceros,shell companies
CS,Credit Suisse Group,banks-diversified
CSBR,Champions Oncology,biotechnology
CSCO,Cisco Systems,communication equipment
CSCW,Color Star Technology,building materials
CSGP,Costar Group,real estate services
CSGS,Csg Systems International,software-infrastructure
CSII,Cardiovascular Systems,medical devices
CSIQ,Canadian Solar,solar
CSL,Carlisle Companies,building products & equipment
CSLT,Castlight Health,health information services
CSOD,Cornerstone Ondemand,software-application
CSPI,Csp Inc.,information technology services
CSPR,Casper Sleep,"furnishings, fixtures & appliances"
CSR,Centerspace,other financial vehicles
CSSE,Chicken Soup For The Soul,broadcasting
CSTA,Constellation Acquisition I,shell companies
CSTE,Caesarstone,building products & equipment
CSTL,Castle Biosciences,diagnostics & research
CSTM,Constellium,aluminum
CSTR,Capstar Financial Holdings,banks-regional
CSU,Capital Senior Living,medical care facilities
CSV,Carriage Services,personal services
CSWC,Capital Southwest,asset management
CSWI,Csw Industrials,specialty industrial machinery
CSX,Csx Corporation,railroads
CTAC,Cerberus Telecom Acquisition,shell companies
CTAQ,Carney Technology Acquisition Ii,shell companies
CTAS,Cintas,specialty business services
CTBI,Community Trust Bancorp,banks-regional
CTEK,Cynergistek,information technology services
CTG,Computer Task Group,information technology services
CTHR,Charles & Colvard,luxury goods
CTIB,Yunhong Cti,specialty retail
CTIC,Cti Biopharma,biotechnology
CTK,Cootek (Cayman) Inc.,software-application
CTKB,Cytek Biosciences,medical devices
CTLP,Cantaloupe,information technology services
CTLT,Catalent,drug manufacturers-specialty & generic
CTMX,Cytomx Therapeutics,biotechnology
CTO,Consolidated-Tomoka Land Co.,reit-diversified
CTOS,Custom Truck One Source,rental & leasing services
CTRE,Caretrust Reit,reit-healthcare facilities
CTRM,Castor Maritime,marine shipping
CTRN,Citi Trends,apparel retail
CTS,Cts Corporation,electronic components
CTSH,Cognizant,information technology services
CTSO,Cytosorbents,medical devices
CTT,Catchmark Timber Trust,reit-specialty
CTVA,Corteva,agricultural inputs
CTXR,Citius Pharmaceuticals,biotechnology
CTXS,Citrix Systems,software-application
CUBE,Cubesmart,reit-industrial
CUBI,Customers Bancorp,banks-regional
CUE,Cue Biopharma,biotechnology
CUEN,Cuentas,telecom services
CUK,Carnival,leisure
CULL,Cullman Bancorp,banks-regional
CULP,"Culp, Inc.",textile manufacturing
CURI,Curiositystream,entertainment
CURO,Curo Group Holdings,credit services
CURV,Torrid Holdings,apparel retail
CUTR,Cutera,medical devices
CUZ,Cousins Properties,reit-office
CVA,Covanta Holding,waste management
CVAC,Curevac,biotechnology
CVBF,Cvb Financial,banks-regional
CVCO,Cavco Industries,residential construction
CVCY,Central Valley Community Bancorp,banks-regional
CVE,Cenovus Energy,oil & gas integrated
CVEO,Civeo Corporation,specialty business services
CVET,Covetrus,health information services
CVGI,Commercial Vehicle Group,auto parts
CVGW,Calavo Growers,packaged foods
CVI,Cvr Energy,oil & gas refining & marketing
CVII,Churchill Capital Vii,shell companies
CVLG,Covenant Logistics,trucking
CVLT,Commvault Systems,software-application
CVLY,Codorus Valley Bancorp,banks-regional
CVM,Cel-Sci Corporation,biotechnology
CVNA,Carvana,internet retail
CVR,Chicago Rivet & Machine Co.,tools & accessories
CVRX,Cvrx,medical devices
CVS,Cvs Health,healthcare plans
CVU,Cpi Aerostructures,aerospace & defense
CVV,Cvd Equipment,specialty industrial machinery
CVX,Chevron,oil & gas integrated
CW,Curtiss-Wright,specialty industrial machinery
CWBC,Community West Bancshares,banks-regional
CWBR,Cohbar,biotechnology
CWCO,Consolidated Water,utilities-regulated water
CWEN,Clearway Energy,utilities-renewable
CWEN.A,Clearway Energy,utilities-renewable
CWH,Camping World Holdings,recreational vehicles
CWK,Cushman & Wakefield,real estate services
CWST,Casella Waste Systems,waste management
CWT,California Water Service Group,utilities-regulated water
CX,Cemex Sab De Cv,building materials
CXDC,China Xd Plastics,auto parts
CXDO,Crexendo,telecom services
CXM,Sprinklr,software-application
CXP,Columbia Property Trust,reit-office
CXW,Corecivic,reit-specialty
CYAD,Celyad,biotechnology
CYAN,Cyanotech,packaged foods
CYBE,Cyberoptics,scientific & technical instruments
CYBN,Cybin,biotechnology
CYBR,Cyberark Software,software-infrastructure
CYCC,Cyclacel Pharmaceuticals,biotechnology
CYCN,Cyclerion Therapeutics,biotechnology
CYD,China Yuchai International,specialty industrial machinery
CYH,Community Health Systems,medical care facilities
CYRN,Cyren Ltd.,software-infrastructure
CYRX,Cryoport,integrated freight & logistics
CYT,Cyteir Therapeutics,biotechnology
CYTH,Cyclo Therapeutics,biotechnology
CYTK,Cytokinetics,biotechnology
CYTO,Altamira Therapeutics,biotechnology
CYXT,Cyxtera Technologies,information technology services
CZNC,Citizens & Northern,banks-regional
CZR,Caesars Entertainment,resorts & casinos
CZWI,Citizens Community Bancorp,banks-regional
D,Dominion Energy,utilities-regulated electric
DAC,Danaos,marine shipping
DADA,Dada Nexus,internet retail
DAIO,Data I/O,electronic components
DAKT,Daktronics,computer hardware
DAL,Delta Air Lines,airlines
DALN,Dallasnews,newspaper publishers
DALS,Da32 Life Science Tech Acquisition,shell companies
DAN,Dana Incorporated,auto parts
DAO,Youdao,internet content & information
DAR,Darling Ingredients,packaged foods
DARE,Dare Bioscience,biotechnology
DASH,Doordash,internet content & information
DATS,Datchat,software-application
DAVA,Endava,software-infrastructure
DAWN,Day One Biopharmaceuticals,biotechnology
DB,Deutsche Bank,banks-regional
DBD,Diebold Nixdorf,software-application
DBDR,Roman Dbdr Tech Acquisition,shell companies
DBGI,Digital Brands Group,apparel retail
DBI,Designer Brands,apparel retail
DBRG,Digitalbridge Group,reit-diversified
DBTX,Decibel Therapeutics,biotechnology
DBVT,Dbv Technologies,biotechnology
DBX,Dropbox,software-infrastructure
DCBO,Docebo,software-application
DCI,Donaldson Company,specialty industrial machinery
DCO,Ducommun,aerospace & defense
DCOM,Dime Community Bancshares,banks-regional
DCP,Dcp Midstream,oil & gas midstream
DCPH,Deciphera Pharmaceuticals,biotechnology
DCRC,Decarbonization Plus Acquisition Iii,shell companies
DCRN,Decarbonization Plus Acquisition Ii,none
DCT,Duck Creek Technologies,software-application
DCTH,Delcath Systems,medical devices
DD,Dupont,specialty chemicals
DDD,3D Systems,computer hardware
DDL,Dingdong,grocery stores
DDMX,Dd3 Acquisition Ii,none
DDOG,Datadog,software-application
DDS,Dillard'S,department stores
DE,Deere & Company,farm & heavy construction machinery
DEA,Easterly Government Properties,reit-office
DECK,Deckers Outdoor,footwear & accessories
DEH,D8 Holdings,shell companies
DEI,Douglas Emmett,reit-office
DELL,Dell Technologies,computer hardware
DEN,Denbury,oil & gas e&p
DENN,Denny'S,restaurants
DEO,Diageo,beverages-wineries & distilleries
DESP,Despegar.Com,travel services
DFFN,Diffusion Pharmaceuticals,biotechnology
DFH,Dream Finders Homes,new housing for-sale builders
DFIN,Donnelley Financial Solutions,capital markets
DFNS,Lgl Systems Acquisition,shell companies
DFPH,Dfp Healthcare Acquisitions,shell companies
DFS,Discover Financial Services,credit services
DG,Dollar General,discount stores
DGICA,Donegal Group,insurance-property & casualty
DGICB,Donegal Group,insurance-property & casualty
DGII,Digi International,communication equipment
DGLY,Digital Ally,security & protection services
DGNS,Dragoneer Growth Opportunities Ii,shell companies
DGNU,Dragoneer Growth Opportunities Iii,shell companies
DGX,Quest Diagnostics,diagnostics & research
DHBC,Dhb Capital,shell companies
DHC,Diversified Healthcare Trust,reit-healthcare facilities
DHCA,Dhc Acquisition,shell companies
DHHC,Diamondhead Holdings,shell companies
DHI,D.R. Horton,residential construction
DHIL,Diamond Hill Investment Group,asset management
DHR,Danaher,diagnostics & research
DHT,Dht Holdings,oil & gas midstream
DHX,Dhi Group,staffing & employment services
DIBS,1Stdibs.Com,internet retail
DIDI,Xiaoju Kuaizhi,software-application
DILA,Dila Capital Acquisition,shell companies
DIN,Dine Brands Global,restaurants
DIOD,Diodes Incorporated,semiconductors
DIS,Disney,entertainment
DISA,Disruptive Acquisition I,shell companies
DISCA,Discovery,entertainment
DISCB,Discovery,entertainment
DISCK,Discovery,entertainment
DISH,Dish Network,entertainment
DIT,Amcon Distributing,food distribution
DJCO,Daily Journal,publishing
DK,Delek Us Holdings,oil & gas refining & marketing
DKDCA,Data Knights Acquisition,shell companies
DKL,Delek Logistics Partners,oil & gas midstream
DKNG,Draftkings,gambling
DKS,Dick'S Sporting Goods,specialty retail
DLA,Delta Apparel,apparel manufacturing
DLB,Dolby Laboratories,information technology services
DLCA,Deep Lake Capital Acquisition,shell companies
DLHC,Dlh Holdings,specialty business services
DLNG,Dynagas Lng Partners,oil & gas midstream
DLO,Dlocal,software-infrastructure
DLPN,Dolphin Entertainment,entertainment
DLR,Digital Realty Trust,reit-office
DLTH,Duluth Holdings,apparel retail
DLTR,Dollar Tree,discount stores
DLX,Deluxe Corporation,advertising agencies
DM,Desktop Metal,oil & gas pipelines
DMAC,Diamedica Therapeutics,biotechnology
DMLP,Dorchester Minerals,oil & gas e&p
DMRC,Digimarc,information technology services
DMS,Digital Media Solutions,advertising agencies
DMTK,Dermtech,diagnostics & research
DMYI,Dmy Technology Group Iii,shell companies
DMYQ,Dmy Technology Group Iv,shell companies
DNAA,Social Capital Suvretta Holdings I,shell companies
DNAB,Social Capital Suvretta Holdings Ii,shell companies
DNAC,Social Capital Suvretta Holdings Iii,shell companies
DNAD,Social Capital Suvretta Holdings Iv,shell companies
DNAY,Codex Dna,medical devices
DNB,Dun & Bradstreet,information technology services
DNLI,Denali Therapeutics,biotechnology
DNMR,Danimer Scientific,specialty chemicals
DNN,Denison Mines,uranium
DNOW,Now Inc.,oil & gas equipment & services
DNUT,Krispy Kreme,grocery stores
DNZ,D & Z Media Acquisition,shell companies
DOC,Physicians Realty Trust,reit-healthcare facilities
DOCN,Digitalocean,software-infrastructure
DOCS,Doximity,health information services
DOCU,Docusign,software-application
DOGZ,Dogness International,household & personal products
DOLE,Dole,farm products
DOMA,Doma Holdings,shell companies
DOMO,"Domo, Inc.",software-application
DOOO,Brp Inc.,recreational vehicles
DOOR,Masonite International,building products & equipment
DORM,Dorman Products,auto parts
DOV,Dover,specialty industrial machinery
DOW,Dow Inc,chemicals
DOX,Amdocs,software-infrastructure
DOYU,Douyu,internet content & information
DPRO,Draganfly,aerospace & defense
DPW,Dpw Holdings,electrical equipment & parts
DPZ,Domino'S Pizza,restaurants
DQ,Daqo New Energy,semiconductor equipment & materials
DRD,Drdgold Limited,gold
DRE,Duke Realty,reit-industrial
DRH,Diamondrock Hospitality,reit-hotel & motel
DRI,Darden Restaurants,restaurants
DRIO,Dariohealth,diagnostics & research
DRMA,Dermata Therapeutics,pharmaceutical preparations
DRNA,Dicerna Pharmaceuticals,biotechnology
DRQ,Dril-Quip,oil & gas equipment & services
DRRX,Durect Corporation,drug manufacturers-specialty & generic
DRTT,Dirtt Environmental Solutions,engineering & construction
DRVN,Driven Brands,auto & truck dealerships
DS,Drive Shack,leisure
DSAC,Duddell Street Acquisition,shell companies
DSEY,Diversey Holdings,personal services
DSGN,Design Therapeutics,biotechnology
DSGX,Descartes Systems Group,software-application
DSKE,Daseke,trucking
DSP,Viant Technology,software-application
DSPG,Dsp Group,semiconductors
DSS,Document Security Systems,specialty business services
DSWL,Deswell Industries,electronic components
DSX,Diana Shipping,marine shipping
DT,Dynatrace,software-application
DTE,Dte Energy,utilities-regulated electric
DTEA,Davidstea,packaged foods
DTIL,Precision Biosciences,biotechnology
DTM,Dt Midstream,oil & gas midstream
DTOC,Digital Transformation Opportunities,shell companies
DTSS,Datasea,software-infrastructure
DTST,Data Storage Corporation,information technology services
DUK,Duke Energy,utilities-regulated electric
DUNE,Dune Acquisition,shell companies
DUO,Fangdd Network Group,real estate services
DUOL,Duolingo,software-application
DUOT,Duos Technologies Group,software-application
DV,Doubleverify,software-application
DVA,Davita,medical care facilities
DVAX,Dynavax Technologies,drug manufacturers-specialty & generic
DVD,Dover Motorsports,leisure
DVN,Devon Energy,oil & gas e&p
DWIN,Delwinds Insurance Acquisition,none
DWSN,Dawson Geophysical,oil & gas equipment & services
DX,Dynex Capital,reit-mortgage
DXC,Dxc Technology,information technology services
DXCM,Dexcom,diagnostics & research
DXF,Dunxin Financial Holdings,credit services
DXPE,Dxp Enterprises,industrial distribution
DXR,Daxor,medical instruments & supplies
DXYN,Dixie Group,textile manufacturing
DY,Dycom Industries,engineering & construction
DYAI,Dyadic International,biotechnology
DYN,Dyne Therapeutics,biotechnology
DYNS,Dynamics Special Purpose,shell companies
DYNT,Dynatronics,medical devices
DZSI,"Dzs, Inc",communication equipment
E,Eni Spa,oil & gas integrated
EA,Electronic Arts,electronic gaming & multimedia
EAC,Edify Acquisition,shell companies
EAF,Graftech International,electrical equipment & parts
EAR,Eargo,medical devices
EARN,Ellington Residential Mortgage,reit-mortgage
EAST,Eastside Distilling,beverages-wineries & distilleries
EAT,Brinker International,restaurants
EB,Eventbrite,software-application
EBAC,European Biotech Acquisition,shell companies
EBAY,Ebay Inc.,internet retail
EBC,Eastern Bankshares,banks-regional
EBET,Esports Technologies,gambling
EBF,"Ennis, Inc.",business equipment & supplies
EBIX,"Ebix, Inc.",software-application
EBMT,Eagle Bancorp Montana,banks-regional
EBON,Ebang International,computer hardware
EBR,Centrais Eletricas Brasileiras,utilities-regulated electric
EBS,Emergent Biosolutions,drug manufacturers-specialty & generic
EBSB,Meridian Bancorp,banks-regional
EBTC,Enterprise Bancorp,banks-regional
EC,Ecopetrol,oil & gas integrated
ECC,Eagle Point Credit,none
ECHO,Echo Global Logistics,integrated freight & logistics
ECL,Ecolab,specialty chemicals
ECOL,Us Ecology,waste management
ECOM,Channeladvisor,software-application
ECOR,Electrocore,medical instruments & supplies
ECPG,Encore Capital Group,mortgage finance
ECVT,Ecovyst,specialty chemicals
ED,Consolidated Edison,utilities-regulated electric
EDAP,Edap Tms S.A.,medical devices
EDIT,Editas Medicine,biotechnology
EDN,Edenor Sa,utilities-regulated electric
EDR,Endeavor Group Holdings,entertainment
EDRY,Eurodry,marine shipping
EDSA,Edesa Biotech,biotechnology
EDTK,Skillful Craftsman,education & training services
EDTX,Edtechx Holdings Acquisition Ii,shell companies
EDU,New Oriental Education & Technology,education & training services
EDUC,Educational Development,publishing
EEFT,Euronet Worldwide,software-infrastructure
EEIQ,Elite Education Group,education & training services
EEX,Emerald Holding,advertising agencies
EFC,Ellington Financial,mortgage finance
EFOI,Energy Focus,"furnishings, fixtures & appliances"
EFSC,Enterprise Financial Services,banks-regional
EFX,Equifax,consulting services
EGAN,Egain Corporation,software-application
EGBN,Eagle Bancorp - Maryland,banks-regional
EGGF,Eg Acquisition,shell companies
EGHT,"8X8, Inc.",software-application
EGLE,Eagle Bulk Shipping,marine shipping
EGLX,Enthusiast Gaming,electronic gaming & multimedia
EGO,Eldorado Gold,gold
EGP,Eastgroup Properties,reit-industrial
EGRX,Eagle Pharmaceuticals,drug manufacturers-specialty & generic
EGY,Vaalco Energy,oil & gas e&p
EH,Ehang Holdings,aerospace & defense
EHC,Encompass Health,medical care facilities
EHTH,Ehealth,insurance brokers
EIC,Eagle Point Income,none
EIG,Employers Holdings,insurance-specialty
EIGR,Eiger Biopharmaceuticals,biotechnology
EIX,Edison International,utilities-regulated electric
EJFA,Ejf Acquisition,shell companies
EJH,E-Home Household Service Holdings Ltd,specialty business services
EKSO,Ekso Bionics Holdings,medical instruments & supplies
EL,Est�E Lauder,household & personal products
ELA,Envela,specialty retail
ELAN,Elanco Animal Health,drug manufacturers-specialty & generic
ELDN,Eledon Pharmaceuticals,biotechnology
ELEV,Elevation Oncology,biotechnology
ELF,E.L.F. Beauty,household & personal products
ELLO,Ellomay Capital,utilities-renewable
ELMD,Electromed,medical devices
ELMS,Electric Last Mile,auto manufacturers
ELOX,Eloxx Pharmaceuticals,biotechnology
ELP,Companhia Paranaense De Energia,utilities-diversified
ELS,Equity Lifestyle Properties,reit-residential
ELSE,Electro-Sensors,scientific & technical instruments
ELTK,Eltek,electronic components
ELVT,Elevate Credit,credit services
ELY,Callaway Golf,leisure
ELYM,Eliem Therapeutics,biotechnology
ELYS,Elys Game Technology,gambling
EM,Smart Share Global,personal services
EMAN,Emagin,electronic components
EMCF,Emclaire Financial,banks-regional
EME,Emcor Group,engineering & construction
EMKR,Emcore Corporation,semiconductors
EML,Eastern Company,tools & accessories
EMN,Eastman Chemical,chemicals
EMR,Emerson Electric,specialty industrial machinery
EMX,Emx Royalty,other industrial metals & mining
ENB,Enbridge,oil & gas midstream
ENBL,Enable Midstream Partners,oil & gas midstream
ENDP,Endo International,drug manufacturers-specialty & generic
ENFA,890 5Th Avenue Partners,shell companies
ENG,Englobal,engineering & construction
ENIA,Enel Americas,utilities-regulated electric
ENIC,Enel Chile,utilities-regulated electric
ENLC,Enlink Midstream,oil & gas midstream
ENLV,Enlivex Therapeutics,biotechnology
ENNV,Ecp Environmental Growth Opportunities,shell companies
ENOB,Enochian Biosciences,biotechnology
ENPC,Executive Network Partnering,shell companies
ENPH,Enphase Energy,solar
ENR,Energizer Holdings,electrical equipment & parts
ENS,Enersys,electrical equipment & parts
ENSC,Ensysce Biosciences,biotechnology
ENSG,The Ensign Group,medical care facilities
ENSV,Enservco,oil & gas equipment & services
ENTA,Enanta Pharmaceuticals,biotechnology
ENTG,Entegris,semiconductor equipment & materials
ENTX,Entera Bio,biotechnology
ENV,Envestnet,software-application
ENVA,Enova International,credit services
ENVB,Enveric Biosciences,biotechnology
ENVI,Environmental Impact Acquisition,shell companies
ENVX,Enovix,electrical equipment & parts
ENZ,Enzo Biochem,diagnostics & research
EOG,Eog Resources,oil & gas e&p
EOLS,Evolus,drug manufacturers-specialty & generic
EOSE,Eos Energy Enterprises,optical instrument and lens manufacturing
EPAC,Enerpac Tool Group,specialty industrial machinery
EPAM,Epam Systems,information technology services
EPAY,Bottomline Technologies,software-infrastructure
EPC,Edgewell Personal Care,household & personal products
EPD,Enterprise Products Partners,oil & gas midstream
EPHY,Epiphany Technology Acquisition,shell companies
EPIX,Essa Pharma,biotechnology
EPM,Evolution Petroleum,oil & gas e&p
EPR,Epr Properties,reit-retail
EPRT,Essential Properties Realty Trust,reit-diversified
EPSN,Epsilon Energy,oil & gas e&p
EPWR,Empowerment & Inclusion Capital I,shell companies
EPZM,Epizyme,biotechnology
EQ,Equillium,biotechnology
EQBK,Equity Bancshares,banks-regional
EQC,Equity Commonwealth,reit-office
EQD,Equity Distribution Acquisition,shell companies
EQH,Equitable Holdings,insurance-diversified
EQHA,Eq Health Acquisition,shell companies
EQIX,Equinix,reit-specialty
EQNR,Equinor,oil & gas integrated
EQOS,Diginex,capital markets
EQR,Equity Residential,reit-residential
EQS,Equus Total Return,asset management
EQT,Eqt Corporation,oil & gas e&p
EQX,Equinox Gold Corp.,gold
ERAS,Erasca,biotechnology
ERES,East Resources Acquisition,shell companies
ERF,Enerplus,oil & gas e&p
ERIC,Ericsson,communication equipment
ERIE,Erie Indemnity,insurance brokers
ERII,Energy Recovery,pollution & treatment controls
ERJ,Embraer,aerospace & defense
ERO,Ero Copper,"copper, nickel, lead, and zinc mining"
ERYP,Erytech Pharma,biotechnology
ES,Eversource Energy,utilities-regulated electric
ESBA,Empire State Realty Op,reit-diversified
ESBK,Elmira Savings Bank,banks-regional
ESCA,Escalade,leisure
ESE,Esco Technologies,scientific & technical instruments
ESEA,Euroseas,marine shipping
ESGC,Eros Stx Global,entertainment
ESGR,Enstar Group,insurance-diversified
ESI,Element Solutions,specialty chemicals
ESLT,Elbit Systems,aerospace & defense
ESM,Esm Acquisition,shell companies
ESNT,Essent Group,mortgage finance
ESP,Espey Manufacturing & Electronics,electrical equipment & parts
ESPR,Esperion Therapeutics,biotechnology
ESQ,Esquire Financial Holdings,banks-regional
ESRT,Empire State Realty Trust,reit-diversified
ESS,Essex Property Trust,reit-residential
ESSA,Essa Bancorp,banks-regional
ESSC,East Stone Acquisition,shell companies
ESTA,Establishment Labs Holdings,medical devices
ESTC,Elastic,software-application
ESTE,Earthstone Energy,oil & gas e&p
ESXB,Community Bankers Trust,banks-regional
ET,Energy Transfer Lp,oil & gas midstream
ETAC,E.Merge Technology Acquisition,shell companies
ETD,Ethan Allen Interiors,"furnishings, fixtures & appliances"
ETN,Eaton,specialty industrial machinery
ETNB,89Bio,biotechnology
ETON,Eton Pharmaceuticals,biotechnology
ETR,Entergy,utilities-regulated electric
ETRN,Equitrans Midstream,oil & gas midstream
ETSY,"Etsy, Inc.",internet retail
ETTX,Entasis Therapeutics,biotechnology
ETWO,E2Open Parent Holdings,software-infrastructure
EUCR,Eucrates Biomedical Acquisition,shell companies
EURN,Euronav,oil & gas midstream
EUSG,European Sustainable Growth Acquisition,shell companies
EVA,Enviva Partners,lumber & wood production
EVAX,Evaxion Biotech,biotechnology
EVBG,Everbridge,software-application
EVBN,Evans Bancorp,banks-regional
EVC,Entravision Communications,broadcasting
EVCM,Evercommerce,software-infrastructure
EVER,Everquote,internet content & information
EVFM,Evofem Biosciences,biotechnology
EVGN,Evogene,biotechnology
EVGO,Evgo,specialty retail
EVH,Evolent Health,health information services
EVI,Evi Industries,industrial distribution
EVK,Ever-Glory International Group,apparel manufacturing
EVLO,Evelo Biosciences,biotechnology
EVLV,Evolv Technologies,security & protection services
EVOJ,Evo Acquisition,shell companies
EVOK,Evoke Pharma,drug manufacturers-specialty & generic
EVOL,Evolving Systems,software-application
EVOP,Evo Payments,software-infrastructure
EVR,Evercore,capital markets
EVRG,Evergy,utilities-regulated electric
EVRI,Everi Holdings,gambling
EVTC,Evertec,software-infrastructure
EW,Edwards Lifesciences,medical devices
EWBC,East West Bancorp,banks-diversified
EWCZ,European Wax Center,household & personal products
EWTX,Edgewise Therapeutics,biotechnology
EXAS,Exact Sciences,diagnostics & research
EXC,Exelon,utilities-diversified
EXEL,Exelixis,biotechnology
EXFO,Exfo Inc.,communication equipment
EXK,Endeavour Silver,silver
EXLS,Exlservice Holdings,information technology services
EXN,Excellon Resources,other industrial metals & mining
EXP,Eagle Materials,building materials
EXPD,Expeditors International,integrated freight & logistics
EXPE,Expedia,travel services
EXPI,Exp World Holdings,real estate services
EXPO,Exponent,consulting services
EXPR,Express,apparel retail
EXR,Extra Space Storage,reit-industrial
EXTN,Exterran,oil & gas equipment & services
EXTR,Extreme Networks,communication equipment
EYE,National Vision Holdings,specialty retail
EYEG,Eyegate Pharmaceuticals,biotechnology
EYEN,Eyenovia,biotechnology
EYES,Second Sight Medical Products,medical devices
EYPT,Eyepoint Pharmaceuticals,biotechnology
EZGO,Ezgo Technologies,recreational vehicles
EZPW,"Ezcorp, Inc.",credit services
F,Ford Motor,auto manufacturers
FA,First Advantage,specialty business services
FACA,Figure Acquisition I,shell companies
FACT,Freedom Acquisition I,blank checks / spac
FAF,First American Financial,insurance-specialty
FAMI,Farmmi,packaged foods
FANG,Diamondback Energy,oil & gas e&p
FANH,Fanhua,insurance brokers
FARM,Farmer Brothers,packaged foods
FARO,Faro Technologies,scientific & technical instruments
FAST,Fastenal,industrial distribution
FAT,Fat Brands,restaurants
FATE,Fate Therapeutics,biotechnology
FB,Facebook,internet content & information
FBC,Flagstar Bancorp,banks-regional
FBHS,Fortune Brands,"furnishings, fixtures & appliances"
FBIO,Fortress Biotech,biotechnology
FBIZ,First Business Financial Services,banks-regional
FBK,Fb Financial,banks-regional
FBMS,First Bancshares,banks-regional
